timestamp,message
2025-02-17 12:05:00,I’d like to order The Green Garden Vegan Burger with extra avocado and Sweet Potato Fries.
2025-02-17 12:06:00,Can I order a pork burger with bacon?
2025-02-17 12:07:00,Where can I pick up my order?
2025-02-17 12:08:00,What healthy options do you have on the menu?
2025-02-17 12:09:00,"I’d like a Spicy Tempeh Burger without the jalapeños, please."
2025-02-17 12:10:00,Order: Give me a double cheeseburger.
2025-02-17 12:11:00,I want a Grilled Chicken Avocado Burger with Kale Chips.
2025-02-17 12:12:00,Do you deliver to 123 Elm Street?
2025-02-17 12:13:00,"I’d like a Vegan Burger combo, thanks."
2025-02-17 12:14:00,Can I order a Mediterranean Burger with extra feta?
2025-02-17 12:15:00,Order: I want The Powerhouse Superfood Burger and a Cold Brew Coffee.
2025-02-17 12:16:00,Could you tell me if I can get a turkey burger? (I don’t see it on your menu)
2025-02-17 12:17:00,I’d like to order a Chicken Caesar Wrap and a Freshly Squeezed Juice.
2025-02-17 12:18:00,What's the current wait time for an order?
2025-02-17 12:19:00,Order: I want a Vegan Burger with extra pickles.
2025-02-17 12:20:00,Can you order me a Fruit Parfait with extra honey?
2025-02-17 12:21:00,I’m interested in the menu—what desserts do you offer?
2025-02-17 12:22:00,Order: Please give me a baked cinnamon apple dessert.
2025-02-17 12:23:00,"Hi, your service is amazing!"
2025-02-17 12:24:00,Order: I want a Sweet Potato Fries and a Kombucha.
2025-02-17 12:25:00,"I’d like to order a Vegan Burger with a side of kale chips, but can I substitute avocado for tomato?"
2025-02-17 12:09:00,"I’d like a Spicy Tempeh Burger without jalapeños, please."
2025-02-17 12:16:00,Could you tell me if I can get a turkey burger? I don't see it on your menu.
2025-02-17 12:21:00,I'm interested in the menu—what desserts do you offer?
2025-02-17 12:22:00,Order: Please give me a Baked Cinnamon Apples dessert.
2025-02-17 12:24:00,Order: I want Sweet Potato Fries and a Kombucha.
2025-02-17 12:26:00,Please give me a Grilled Veggie & Hummus Wrap.
2025-02-17 12:27:00,I want the Chicken Caesar Wrap with extra dressing.
2025-02-17 12:28:00,Can you tell me what time you close?
2025-02-17 12:29:00,Order: I'd like a Mediterranean Chickpea Salad with a side of Freshly Squeezed Apple Juice.
2025-02-17 12:30:00,"I'd like to order a Turkish Burger, please."
2025-02-17 12:31:00,What are your specials for today?
2025-02-17 12:32:00,Order: Give me a Kale & Quinoa Super Salad with a dash of extra lemon.
2025-02-17 12:33:00,I want a Baked Cinnamon Apples dessert.
2025-02-17 12:34:00,Can I get a Vegan Burger combo with gluten-free bun?
2025-02-17 12:35:00,Order: I'd like a Grilled Chicken Avocado Burger without the yogurt-herb sauce.
2025-02-17 12:36:00,"I’m just browsing, thanks."
2025-02-17 12:37:00,Do you have any promotions today?
2025-02-17 12:38:00,Order: I'll take a Spicy Tempeh Burger and a Freshly Squeezed Carrot-Ginger Juice.
2025-02-17 12:39:00,Can I modify my order if I want less dressing?
2025-02-17 12:40:00,"Order: I'd like a Vegan Burger with extra avocado, a Grilled Veggie & Hummus Wrap, and Sweet Potato Fries."
2025-02-17 12:41:00,Is it possible to get a dessert with my order?
2025-02-17 12:42:00,Order: I want a Chia Pudding dessert.
2025-02-17 12:27:00,I want a Chicken Caesar Wrap with extra dressing.
2025-02-17 12:36:00,"I'm just browsing, thanks."
2025-02-17 12:43:00,I’d like to order The Green Garden Vegan Burger with extra avocado.
2025-02-17 12:44:00,"Could I get a Grilled Chicken Avocado Burger, please?"
2025-02-17 12:45:00,"Order: I'd like a Mediterranean Burger, please."
2025-02-17 12:46:00,Do you serve Chicken Tenders?
2025-02-17 12:47:00,Order: I want a Chicken Caesar Wrap with Freshly Squeezed Orange Juice.
2025-02-17 12:48:00,Is it possible to get extra dressing with my salad?
